alpha,arousal1,betha,theta,gamma,valence1
3.74,0.27,6.16,4.28,7.09,-0.01
3.67,0.27,6.22,4.41,7.12,-0.01
3.57,0.28,6.33,4.43,7.11,-0.01
3.64,0.28,6.29,4.3,7.13,-0.01
3.81,0.26,6.51,4.12,7.33,-0.01
3.99,0.25,6.57,4.12,7.3,-0.01
4.04,0.25,6.71,4.33,7.05,-0.01
4.24,0.24,6.67,4.59,6.99,-0.01
4.41,0.23,6.65,4.92,6.96,0
4.41,0.23,6.65,5.2,6.91,-0.01
4.5,0.22,6.53,5.22,6.9,-0.01
4.54,0.22,6.51,5.16,6.79,-0.01
4.47,0.22,6.48,5.26,6.69,-0.01
4.47,0.22,6.37,5.35,6.53,-0.01
4.51,0.22,6.32,5.36,6.36,-0.01
4.59,0.22,5.91,5.36,5.65,-0.01
4.53,0.22,5.71,5.31,5.39,-0.01
4.48,0.22,5.15,5.2,5.02,-0.01
4.4,0.23,5.01,5.06,4.74,-0.01
4.34,0.23,4.96,4.75,4.69,-0.01
4.27,0.23,4.81,4.25,4.69,0
4.1,0.24,4.75,4.08,4.59,0
4.02,0.25,4.57,3.86,4.63,0
3.98,0.25,4.52,3.06,4.66,0
3.91,0.26,4.55,2.71,4.5,0
3.52,0.28,4.44,2.56,4.56,0.01
3.1,0.32,4.69,2.61,4.58,0.04
3.14,0.32,4.75,2.81,4.58,0.04
3.06,0.33,4.76,2.88,4.52,0.01
2.76,0.36,4.78,2.92,4.41,-0.02
2.49,0.4,4.74,3.04,4.44,-0.04
2.57,0.39,4.78,3.08,4.41,-0.03
2.66,0.38,4.99,3.05,4.34,-0.03
2.75,0.36,5.06,3.08,4.32,-0.03
2.71,0.37,5,3.14,4.22,-0.01
2.72,0.37,5.04,3.16,4.42,-0.01
2.73,0.37,4.81,3.28,4.3,-0.01
2.92,0.34,4.67,3.24,4.23,0.03
3.29,0.3,4.7,3.11,4.22,0.04
3.52,0.28,4.67,3.07,4.19,0.03
3.55,0.28,4.69,3.34,4.2,0.03
3.55,0.28,4.68,3.95,4.23,0.04
3.54,0.28,4.62,4.17,4.24,0.04
3.52,0.28,4.31,4.14,4.05,0.04
3.53,0.28,4.32,4.11,4.08,0.04
3.55,0.28,4.7,4.11,3.89,0.04
3.59,0.28,4.62,4.21,3.88,0.04
3.62,0.28,4.68,4.33,3.98,0.03
3.54,0.28,4.75,4.36,4.27,0.02
3.16,0.32,4.75,4.38,4.27,0
2.86,0.35,4.71,4.47,4.49,0
2.94,0.34,4.99,4.36,4.87,0.02
2.89,0.35,5.01,4.37,4.88,0.01
3.01,0.33,5.04,4.83,4.89,0
3.19,0.31,5.15,5.06,5.11,0
3.19,0.31,5.09,5.07,5.15,0
3.33,0.3,5.02,5.09,5.26,-0.02
3.51,0.28,5.07,5.09,5.29,-0.02
3.46,0.29,5.07,5.04,5.25,-0.02
3.43,0.29,5.04,5.03,5.19,-0.01
3.41,0.29,5.07,5,5.21,-0.01
3.4,0.29,5.07,4.97,4.9,-0.02
3.47,0.29,4.9,4.9,4.83,-0.01
3.54,0.28,4.97,4.65,4.9,0
3.47,0.29,4.85,4.16,4.8,0.01
3.31,0.3,4.66,3.72,4.56,0.01
