alpha,arousal1,betha,theta,gamma,valence1
3.11,0.322,2.82,3.96,2.25,-0.0211
2.97,0.336,3.01,4.13,2.24,-0.0222
2.79,0.359,2.91,4.22,2.14,-0.0199
2.7,0.371,2.9,4.15,2.16,-0.0178
2.69,0.372,2.9,3.95,2.14,-0.00417
2.54,0.394,2.88,3.79,2.05,0.0151
2.45,0.408,2.98,3.76,2.02,0.0262
2.42,0.413,2.9,3.72,2.03,0.0421
2.29,0.436,2.91,3.83,1.98,0.0982
2.2,0.454,2.96,4.02,1.97,0.151
2.28,0.439,2.96,4.09,2.05,0.144
2.34,0.428,2.83,4,1.98,0.161
2.39,0.418,2.67,3.77,2.06,0.16
2.35,0.425,2.67,3.65,2.05,0.169
2.29,0.437,3.08,3.62,2.2,0.152
2.26,0.442,3.23,3.61,2.27,0.133
2.27,0.441,3.4,3.61,2.85,0.107
2.41,0.416,3.62,3.66,2.96,0.0548
2.72,0.367,3.64,3.81,2.97,0.0124
2.79,0.359,3.64,3.82,3,-0.0146
2.73,0.366,3.59,3.62,2.94,-0.0255
2.84,0.352,3.62,3.42,2.97,-0.0324
2.94,0.34,3.63,3.36,3.01,-0.0414
3.04,0.329,3.64,3.49,2.98,-0.045
3.15,0.318,3.62,3.63,2.95,-0.0362
3.18,0.314,3.35,3.79,2.87,-0.0297
3.28,0.305,3.33,3.9,2.82,-0.037
3.37,0.297,2.91,4,2.13,-0.0396
3.29,0.304,2.73,4.08,2.2,-0.0346
3.22,0.311,2.86,4.02,2.21,-0.0298
3.42,0.293,2.93,4.07,2.25,-0.0234
3.7,0.27,3.05,4.36,2.25,-0.0157
3.82,0.262,2.98,4.57,2.2,-0.0102
3.78,0.265,2.96,4.65,2.16,-0.0088
3.7,0.27,2.94,4.68,2.16,-0.0108
3.67,0.273,2.97,4.65,2.01,-0.0112
3.62,0.276,2.91,4.6,2.03,-0.00465
3.54,0.283,2.93,4.58,2.06,0.00678
3.52,0.284,3,4.54,2.07,0.0135
3.56,0.281,3.02,4.46,2.14,0.0132
3.49,0.287,2.94,4.41,2.27,0.0158
3.94,0.254,2.75,4.37,1.64,0.00109
3.8,0.263,2.76,3.47,1.6,0.00273
3.55,0.282,2.78,2.83,1.42,0.0173
3.24,0.309,2.59,2.61,1.46,0.0322
3.3,0.303,2.8,2.86,1.41,0.015
3.66,0.273,2.88,2.94,1.44,0.000394
3.95,0.253,2.88,2.85,1.44,0.00344
4.02,0.249,2.76,2.81,1.45,0.0136
