alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
2.9,0.345,3.37,3.71,2.18,0.011,Sad,Agressive
2.75,0.364,3.28,3.8,2.28,0.0119,Sad,Agressive
2.83,0.353,3.31,3.71,2.21,-0.0325,Sad,Agressive
2.98,0.335,3.31,3.66,2.14,-0.0559,Sad,Agressive
3.05,0.328,3.26,3.7,2.14,-0.0699,Sad,Agressive
2.99,0.335,3.09,3.65,2.13,-0.086,Sad,Agressive
2.96,0.337,3.12,3.55,2.13,-0.0953,Sad,Agressive
2.99,0.334,3.09,3.54,2.05,-0.0876,Sad,Agressive
2.92,0.342,2.97,3.42,2,-0.0838,Sad,Agressive
2.83,0.354,2.93,3.35,1.95,-0.0973,Sad,Agressive
2.79,0.359,2.88,3.42,2.03,-0.102,Sad,Agressive
2.8,0.357,3.02,3.43,1.99,-0.0969,Sad,Agressive
2.73,0.367,3.1,3.23,2,-0.0846,Sad,Agressive
2.62,0.382,3.19,3.18,1.93,-0.0572,Sad,Agressive
2.6,0.385,3.28,3.27,1.96,-0.0195,Sad,Agressive
2.83,0.354,3.29,3.51,2.03,-0.0024,Sad,Agressive
2.85,0.351,3.29,3.76,2.04,0.00599,Sad,Agressive
2.87,0.348,3.3,3.84,2.11,0.00854,Sad,Agressive
3.31,0.302,3.8,4.38,2.37,-0.0249,Sad,Sad
3.37,0.297,3.83,4.36,2.39,-0.0242,Sad,Sad
3.43,0.291,3.83,4.45,2.3,-0.0156,Sad,Sad
3.44,0.291,3.85,4.5,2.27,-0.0128,Sad,Sad
3.44,0.29,3.85,4.28,2.28,-0.0198,Sad,Sad
3.47,0.288,3.86,3.92,2.28,-0.0243,Sad,Sad
3.5,0.285,3.82,3.84,2.45,-0.0238,Sad,Sad
3.56,0.281,3.54,3.82,2.17,-0.0198,Sad,Sad
3.46,0.289,3.58,3.96,2.17,-0.0121,Sad,Sad
3.1,0.322,3.52,4.41,2.1,-0.00152,Sad,Sad
3.21,0.312,3.43,4.5,2.06,0.00187,Sad,Sad
3.51,0.285,3.23,4.53,2.08,0.0115,Sad,Sad
3.57,0.28,3.21,4.64,2.03,0.0141,Sad,Sad
3.55,0.282,3.33,4.6,2.03,0.0091,Sad,Sad
3.61,0.277,3.32,4.51,2,0.000161,Sad,Sad
3.64,0.274,3.58,4.56,2.01,-0.000061,Sad,Sad
3.73,0.268,3.68,4.65,1.96,-0.000081,Sad,Sad
3.74,0.268,3.63,4.68,1.74,-0.00236,Sad,Sad
3.72,0.269,3.6,4.69,1.85,-0.00429,Sad,Sad
3.75,0.266,3.47,4.47,1.81,-0.00374,Sad,Sad
3.6,0.277,3.5,4.15,2.09,-0.00363,Sad,Sad
3.4,0.294,3.56,4.13,2.07,-0.0146,Sad,Sad
3.26,0.307,3.55,3.95,2.2,-0.0413,Sad,Sad
3.27,0.306,3.63,3.64,2.35,-0.0738,Sad,Sad
3.26,0.307,3.56,3.66,2.39,-0.071,Sad,Sad
3.2,0.313,3.48,3.77,2.39,-0.0679,Sad,Sad
3,0.334,3.27,3.83,2.37,-0.0983,Sad,Sad
2.77,0.361,3.23,3.84,2.4,-0.116,Sad,Sad
2.82,0.355,3.3,3.75,2.45,-0.0822,Sad,Sad
2.8,0.357,3.37,3.7,2.41,-0.0766,Sad,Sad
2.74,0.365,3.35,3.71,2.4,-0.0789,Sad,Sad
2.75,0.364,3.31,3.69,2.31,-0.0765,Sad,Sad
2.56,0.391,3.23,3.71,2.33,-0.0796,Sad,Sad
2.21,0.453,3.14,3.96,2.16,-0.0415,Sad,Sad
2.24,0.446,3.12,4.21,1.97,-0.0133,Sad,Sad
2.6,0.385,3.16,4.26,1.94,-0.016,Sad,Sad
2.8,0.358,3.1,4.14,1.93,-0.00107,Sad,Sad
2.87,0.348,3.03,3.94,1.97,0.0197,Sad,Sad
2.88,0.347,2.84,3.84,2.01,0.0259,Sad,Sad
2.88,0.347,2.71,3.95,1.91,0.0228,Sad,Sad
