alpha,arousal1,betha,arousal2,theta,gamma,valence1,'Stimuli (Audio)',Response
2.61,0.383,2.66,1.02,4.81,1.61,-0.00195,Agressive,Agressive
2.69,0.371,2.73,1.01,4.77,1.48,0.0291,Agressive,Agressive
2.84,0.352,2.57,0.907,4.66,1.41,0.0353,Agressive,Agressive
2.93,0.341,2.65,0.905,4.52,1.48,0.0233,Agressive,Agressive
2.91,0.344,2.52,0.867,4.41,1.21,0.0104,Agressive,Agressive
2.96,0.338,2.6,0.88,4.41,1.15,0.000104,Agressive,Agressive
2.95,0.339,2.64,0.896,4.38,1.14,0.00282,Agressive,Agressive
2.94,0.34,2.66,0.903,4.14,1.4,0.00636,Agressive,Agressive
3.05,0.328,2.67,0.876,3.93,1.43,0.00786,Agressive,Agressive
3.07,0.325,2.76,0.897,3.91,1.39,0.00778,Agressive,Agressive
3.06,0.327,2.7,0.883,3.97,1.59,0.0075,Agressive,Agressive
2.96,0.338,2.83,0.954,3.98,1.78,-0.00116,Agressive,Agressive
2.72,0.368,2.99,1.1,4.01,2.22,-0.0155,Agressive,Agressive
2.42,0.414,3.11,1.29,3.96,2.39,-0.0125,Agressive,Agressive
2.35,0.426,3.07,1.31,3.9,2.45,-0.00716,Agressive,Agressive
2.33,0.43,3.14,1.35,3.9,2.5,-0.00641,Agressive,Agressive
2.42,0.413,3.04,1.26,3.87,2.58,-0.0216,Agressive,Agressive
2.54,0.394,3.08,1.21,3.81,2.59,-0.0359,Agressive,Agressive
2.41,0.414,3.23,1.34,3.77,2.57,-0.0749,Agressive,Agressive
2.32,0.43,3.29,1.42,3.56,2.58,-0.096,Agressive,Agressive
2.36,0.424,3.36,1.43,3.36,2.58,-0.0847,Agressive,Agressive
2.29,0.436,3.49,1.52,3.56,2.47,-0.0744,Agressive,Agressive
2.23,0.448,3.47,1.56,3.92,2.34,-0.0633,Agressive,Agressive
2.23,0.448,3.37,1.51,4.17,1.93,-0.0605,Agressive,Agressive
2.37,0.423,3.39,1.43,4.22,1.95,-0.0436,Agressive,Agressive
2.45,0.408,3.5,1.43,4.23,1.84,-0.0325,Agressive,Agressive
2.46,0.407,3.47,1.41,4.24,1.85,-0.0369,Agressive,Agressive
2.37,0.421,3.48,1.47,4.23,1.68,-0.0319,Agressive,Agressive
2.24,0.446,3.48,1.55,4.22,1.94,-0.0131,Agressive,Agressive
2.11,0.474,3.47,1.64,4.22,1.92,0.00748,Agressive,Agressive
2.02,0.495,3.45,1.71,4.19,1.95,0.0103,Agressive,Agressive
1.97,0.508,3.73,1.9,4.09,2.04,-0.00222,Agressive,Agressive
2.01,0.496,3.67,1.82,3.85,2.04,-0.0378,Agressive,Agressive
2.35,0.425,3.63,1.55,3.39,2.07,-0.0497,Agressive,Agressive
2.53,0.395,3.61,1.43,3.04,1.97,-0.0582,Agressive,Agressive
2.74,0.365,3.62,1.32,3.3,2.16,-0.0558,Agressive,Agressive
