alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
3.59,0.28,3.03,4.4,2.94,0.03,Sad,Sad
3.54,0.28,3.04,4.51,2.85,0.03,Sad,Sad
3.49,0.29,3.14,4.5,2.85,0.02,Sad,Sad
3.5,0.29,3.23,4.49,2.86,0.02,Sad,Sad
3.33,0.3,3.21,4.4,2.83,0.02,Sad,Sad
3.05,0.33,3.18,4.18,2.88,0.03,Sad,Sad
2.88,0.35,3.14,3.99,3.03,0.04,Sad,Sad
2.86,0.35,3.16,3.89,3.02,0.04,Sad,Sad
2.89,0.35,3.22,3.87,3.03,0.04,Sad,Sad
2.88,0.35,3.1,3.91,3.09,0.05,Sad,Sad
2.76,0.36,3.17,3.73,3.12,0.03,Sad,Sad
2.53,0.4,3.28,3.31,3.13,-0.05,Sad,Sad
2.54,0.39,3.25,3.16,3.11,-0.09,Sad,Sad
2.47,0.41,3.13,3.26,3.11,-0.1,Sad,Sad
2.28,0.44,3.1,3.29,3.17,-0.11,Sad,Sad
2.23,0.45,3.26,3.32,3.27,-0.1,Sad,Sad
2.37,0.42,3.23,3.42,3.24,-0.07,Sad,Sad
2.4,0.42,3.22,3.45,3.16,-0.05,Sad,Sad
3.38,0.3,3.79,4.79,2.08,0,Agressive,Sad
3.32,0.3,3.51,4.79,2.06,0,Agressive,Sad
3.11,0.32,3.47,4.79,2.03,0.01,Agressive,Sad
3.01,0.33,3.48,4.66,1.94,0.02,Agressive,Sad
2.98,0.34,3.43,4.53,1.93,0.03,Agressive,Sad
2.56,0.39,3.43,4.5,2.08,0.05,Agressive,Sad
2.27,0.44,3.19,4.4,2.07,0.06,Agressive,Sad
2.32,0.43,3.12,4.28,2.05,0.08,Agressive,Sad
2.46,0.41,3.17,4.1,1.97,0.06,Agressive,Sad
2.52,0.4,3.04,3.7,1.97,0.04,Agressive,Sad
2.51,0.4,3.13,3.4,2.04,0.05,Agressive,Sad
2.59,0.39,3.28,3.37,2.07,0.03,Agressive,Sad
2.56,0.39,3.27,3.32,2.09,0.03,Agressive,Sad
2.52,0.4,3.14,3.28,2.07,0.04,Agressive,Sad
2.49,0.4,3.34,3.24,2.18,0.04,Agressive,Sad
2.29,0.44,3.39,3.3,2.17,0.03,Agressive,Sad
2.48,0.4,3.43,3.39,2.12,0.03,Agressive,Sad
2.91,0.34,3.34,3.26,2.24,0.02,Agressive,Sad
3.05,0.33,3.34,3.02,2.35,0.02,Agressive,Sad
2.99,0.33,3.33,3.15,2.45,0.03,Agressive,Sad
2.97,0.34,3.33,3.36,2.48,0.03,Agressive,Sad
2.96,0.34,3.17,3.52,2.49,0.04,Agressive,Sad
2.92,0.34,3.13,3.63,2.44,0.05,Agressive,Sad
2.91,0.34,3.13,3.71,2.43,0.06,Agressive,Sad
2.9,0.34,3.11,3.74,2.4,0.06,Agressive,Sad
2.9,0.35,2.83,3.75,2.3,0.06,Agressive,Sad
2.86,0.35,2.73,3.72,2.3,0.05,Agressive,Sad
2.56,0.39,2.46,3.92,2.07,0.06,Agressive,Sad
2.16,0.46,2.44,4.06,2.07,0.07,Agressive,Sad
2.01,0.5,2.39,4.03,1.85,0.05,Agressive,Sad
2,0.5,2.62,4.02,1.63,0.05,Agressive,Sad
1.99,0.5,2.65,3.99,1.66,0.06,Agressive,Sad
2.08,0.48,2.69,3.93,1.58,0.05,Agressive,Sad
2.12,0.47,2.68,3.86,1.61,0.05,Agressive,Sad
2.16,0.46,2.69,3.78,1.63,0.04,Agressive,Sad
2.33,0.43,2.72,3.8,1.67,0.02,Agressive,Sad
2.44,0.41,2.73,3.9,1.68,0,Agressive,Sad
2.4,0.42,2.76,3.9,1.75,-0.01,Agressive,Sad
2.3,0.43,2.84,3.63,1.72,-0.02,Agressive,Sad
2.29,0.44,2.93,3.44,1.63,0,Agressive,Sad
2.71,0.37,2.95,3.34,1.52,0.01,Agressive,Sad
3.08,0.32,2.7,3.31,1.63,0.01,Agressive,Sad
3.19,0.31,2.74,3.36,1.65,0.01,Agressive,Sad
3.19,0.31,2.81,3.41,1.61,0,Agressive,Sad
3.19,0.31,2.76,3.43,1.61,-0.01,Agressive,Sad
3.19,0.31,3.07,3.33,2.18,0,Agressive,Sad
3.12,0.32,3.32,3.07,2.18,0.01,Agressive,Sad
3.12,0.32,3.37,2.84,2.23,0.02,Agressive,Sad
